ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Doubt
tang1347-146_ashes-1,tang1347-146_ashes-1,ash-64,,,Greenhilletal2008,False
mafe1237-146_ashes-1,mafe1237-146_ashes-1,ash-64,,,Greenhilletal2008,False
urip1239-146_ashes-1,urip1239-146_ashes-1,ash-65,,,Greenhilletal2008,False
futu1245-146_ashes-3,futu1245-146_ashes-3,ash-67,,,Greenhilletal2008,False
emae1237-146_ashes-1,emae1237-146_ashes-1,ash-67,,,Greenhilletal2008,False
mele1250-146_ashes-1,mele1250-146_ashes-1,ash-67,,,Greenhilletal2008,False
west2516-146_ashes-1,west2516-146_ashes-1,ash-67,,,Greenhilletal2008,False
lena1238-146_ashes-1,lena1238-146_ashes-1,ash-73,,,Greenhilletal2008,False
siee1239-146_ashes-1,siee1239-146_ashes-1,ash-73,,,Greenhilletal2008,False
urav1235-146_ashes-1,urav1235-146_ashes-1,ash-73,,,Greenhilletal2008,False
kwam1252-146_ashes-1,kwam1252-146_ashes-1,ash-73,,,Greenhilletal2008,False
nort2847-146_ashes-1,nort2847-146_ashes-1,ash-73,,,Greenhilletal2008,False
whit1269-146_ashes-1,whit1269-146_ashes-1,ash-73,,,Greenhilletal2008,False
sout2857-146_ashes-1,sout2857-146_ashes-1,ash-75,,,Greenhilletal2008,False
katb1237-146_ashes-1,katb1237-146_ashes-1,ash-75,,,Greenhilletal2008,False
litz1237-146_ashes-1,litz1237-146_ashes-1,ash-75,,,Greenhilletal2008,False
nese1235-146_ashes-1,nese1235-146_ashes-1,ash-75,,,Greenhilletal2008,False
mara1399-146_ashes-1,mara1399-146_ashes-1,ash-75,,,Greenhilletal2008,False
mara1399-146_ashes-2,mara1399-146_ashes-2,ash-75,,,Greenhilletal2008,False
labo1244-146_ashes-1,labo1244-146_ashes-1,ash-75,,,Greenhilletal2008,False
nati1244-146_ashes-1,nati1244-146_ashes-1,ash-75,,,Greenhilletal2008,False
nati1244-146_ashes-2,nati1244-146_ashes-2,ash-75,,,Greenhilletal2008,False
ling1265-146_ashes-1,ling1265-146_ashes-1,ash-75,,,Greenhilletal2008,False
aulu1238-146_ashes-1,aulu1238-146_ashes-1,ash-75,,,Greenhilletal2008,False
port1285-146_ashes-1,port1285-146_ashes-1,ash-76,,,Greenhilletal2008,False
axam1237-146_ashes-1,axam1237-146_ashes-1,ash-76,,,Greenhilletal2008,False
vinm1237-146_ashes-1,vinm1237-146_ashes-1,ash-77,,,Greenhilletal2008,False
bier1244-146_ashes-1,bier1244-146_ashes-1,ash-78,,,Greenhilletal2008,False
lewo1242-146_ashes-1,lewo1242-146_ashes-1,ash-78,,,Greenhilletal2008,False
maee1241-146_ashes-1,maee1241-146_ashes-1,ash-79,,,Greenhilletal2008,False
nese1235-146_ashes-1,nese1235-146_ashes-1,ash-83,,,Greenhilletal2008,False
aulu1238-146_ashes-1,aulu1238-146_ashes-1,ash-83,,,Greenhilletal2008,False
sout2859-173_at-1,sout2859-173_at-1,at-1,,,Greenhilletal2008,False
futu1245-173_at-1,futu1245-173_at-1,at-1,,,Greenhilletal2008,False
mele1250-173_at-1,mele1250-173_at-1,at-1,,,Greenhilletal2008,False
west2516-173_at-1,west2516-173_at-1,at-1,,,Greenhilletal2008,False
mara1399-173_at-1,mara1399-173_at-1,at-1,,,Greenhilletal2008,False
apma1240-173_at-2,apma1240-173_at-2,at-1,,,Greenhilletal2008,False
lena1238-173_at-1,lena1238-173_at-1,at-20,,,Greenhilletal2008,False
saka1289-173_at-1,saka1289-173_at-1,at-20,,,Greenhilletal2008,False
saka1289-173_at-2,saka1289-173_at-2,at-20,,,Greenhilletal2008,False
saka1289-173_at-3,saka1289-173_at-3,at-20,,,Greenhilletal2008,False
nese1235-173_at-1,nese1235-173_at-1,at-20,,,Greenhilletal2008,False
mara1399-173_at-3,mara1399-173_at-3,at-20,,,Greenhilletal2008,False
siee1239-173_at-1,siee1239-173_at-1,at-20,,,Greenhilletal2008,False
urav1235-173_at-1,urav1235-173_at-1,at-20,,,Greenhilletal2008,False
mere1242-173_at-1,mere1242-173_at-1,at-20,,,Greenhilletal2008,False
vinm1237-173_at-1,vinm1237-173_at-1,at-20,,,Greenhilletal2008,False
apma1240-173_at-1,apma1240-173_at-1,at-20,,,Greenhilletal2008,False
apma1240-173_at-2,apma1240-173_at-2,at-20,,,Greenhilletal2008,False
saaa1241-173_at-1,saaa1241-173_at-1,at-20,,,Greenhilletal2008,True
seke1241-173_at-1,seke1241-173_at-1,at-20,,,Greenhilletal2008,False
leme1238-173_at-1,leme1238-173_at-1,at-20,,,Greenhilletal2008,False
hano1246-173_at-1,hano1246-173_at-1,at-20,,,Greenhilletal2008,True
motl1237-173_at-1,motl1237-173_at-1,at-38,,,Greenhilletal2008,False
arak1252-173_at-1,arak1252-173_at-1,at-38,,,Greenhilletal2008,False
apma1240-173_at-3,apma1240-173_at-3,at-48,,,Greenhilletal2008,False
seke1241-173_at-1,seke1241-173_at-1,at-48,,,Greenhilletal2008,False
seke1241-173_at-2,seke1241-173_at-2,at-49,,,Greenhilletal2008,False
apma1240-173_at-4,apma1240-173_at-4,at-50,,,Greenhilletal2008,False
sout2856-173_at-1,sout2856-173_at-1,at-6,,,Greenhilletal2008,False
motl1237-13_back-1,motl1237-13_back-1,back-10,,,Greenhilletal2008,False
leme1238-13_back-1,leme1238-13_back-1,back-10,,,Greenhilletal2008,False
vure1239-13_back-1,vure1239-13_back-1,back-10,,,Greenhilletal2008,False
vera1241-13_back-1,vera1241-13_back-1,back-10,,,Greenhilletal2008,False
mota1237-13_back-1,mota1237-13_back-1,back-10,,,Greenhilletal2008,False
ling1265-13_back-1,ling1265-13_back-1,back-105,,,Greenhilletal2008,False
west2516-13_back-1,west2516-13_back-1,back-11,,,Greenhilletal2008,False
anei1239-13_back-1,anei1239-13_back-1,back-111,,,Greenhilletal2008,False
sout2856-13_back-1,sout2856-13_back-1,back-12,,,Greenhilletal2008,False
sout2857-13_back-1,sout2857-13_back-1,back-12,,,Greenhilletal2008,False
litz1237-13_back-1,litz1237-13_back-1,back-12,,,Greenhilletal2008,False
siee1239-13_back-1,siee1239-13_back-1,back-12,,,Greenhilletal2008,False
urav1235-13_back-1,urav1235-13_back-1,back-12,,,Greenhilletal2008,False
mere1242-13_back-1,mere1242-13_back-1,back-12,,,Greenhilletal2008,False
nama1268-13_back-1,nama1268-13_back-1,back-12,,,Greenhilletal2008,False
vinm1237-13_back-1,vinm1237-13_back-1,back-12,,,Greenhilletal2008,False
apma1240-13_back-1,apma1240-13_back-1,back-12,,,Greenhilletal2008,False
kwam1252-13_back-1,kwam1252-13_back-1,back-12,,,Greenhilletal2008,False
baki1244-13_back-1,baki1244-13_back-1,back-12,,,Greenhilletal2008,False
malo1243-13_back-1,malo1243-13_back-1,back-12,,,Greenhilletal2008,False
cent2058-13_back-1,cent2058-13_back-1,back-12,,,Greenhilletal2008,False
nort2839-13_back-1,nort2839-13_back-1,back-12,,,Greenhilletal2008,True
labo1244-13_back-1,labo1244-13_back-1,back-12,,,Greenhilletal2008,False
nati1244-13_back-1,nati1244-13_back-1,back-12,,,Greenhilletal2008,False
malu1245-13_back-1,malu1245-13_back-1,back-12,,,Greenhilletal2008,False
maee1241-13_back-1,maee1241-13_back-1,back-12,,,Greenhilletal2008,False
saaa1241-13_back-1,saaa1241-13_back-1,back-130,,,Greenhilletal2008,False
paam1238-13_back-1,paam1238-13_back-1,back-130,,,Greenhilletal2008,False
akei1237-13_back-1,akei1237-13_back-1,back-134,,,Greenhilletal2008,False
seke1241-13_back-1,seke1241-13_back-1,back-137,,,Greenhilletal2008,False
nama1268-13_back-2,nama1268-13_back-2,back-139,,,Greenhilletal2008,False
east2443-13_back-1,east2443-13_back-1,back-23,,,Greenhilletal2008,False
sout2859-13_back-1,sout2859-13_back-1,back-35,,,Greenhilletal2008,True
lena1238-13_back-1,lena1238-13_back-1,back-35,,,Greenhilletal2008,False
daka1243-13_back-1,daka1243-13_back-1,back-35,,,Greenhilletal2008,False
lele1267-13_back-1,lele1267-13_back-1,back-35,,,Greenhilletal2008,False
bier1244-13_back-1,bier1244-13_back-1,back-35,,,Greenhilletal2008,False
lonw1238-13_back-1,lonw1238-13_back-1,back-35,,,Greenhilletal2008,False
sout2869-13_back-1,sout2869-13_back-1,back-35,,,Greenhilletal2008,False
nort2847-13_back-1,nort2847-13_back-1,back-35,,,Greenhilletal2008,False
lame1260-13_back-1,lame1260-13_back-1,back-35,,,Greenhilletal2008,False
whit1269-13_back-1,whit1269-13_back-1,back-35,,,Greenhilletal2008,False
aulu1238-13_back-1,aulu1238-13_back-1,back-35,,,Greenhilletal2008,False
port1285-13_back-1,port1285-13_back-1,back-35,,,Greenhilletal2008,False
axam1237-13_back-1,axam1237-13_back-1,back-35,,,Greenhilletal2008,False
mask1242-13_back-1,mask1242-13_back-1,back-35,,,Greenhilletal2008,False
mara1399-13_back-1,mara1399-13_back-1,back-52,,,Greenhilletal2008,False
tang1347-13_back-1,tang1347-13_back-1,back-59,,,Greenhilletal2008,False
noku1237-13_back-1,noku1237-13_back-1,back-60,,,Greenhilletal2008,True
futu1245-13_back-1,futu1245-13_back-1,back-62,,,Greenhilletal2008,False
rere1240-13_back-1,rere1240-13_back-1,back-67,,,Greenhilletal2008,False
unua1237-13_back-1,unua1237-13_back-1,back-67,,,Greenhilletal2008,False
arak1252-13_back-1,arak1252-13_back-1,back-75,,,Greenhilletal2008,False
saka1289-13_back-1,saka1289-13_back-1,back-76,,,Greenhilletal2008,False
saka1289-13_back-2,saka1289-13_back-2,back-76,,,Greenhilletal2008,False
mafe1237-13_back-1,mafe1237-13_back-1,back-76,,,Greenhilletal2008,False
