ID,Name,Description,ColumnSpec
100_wing,wing,,
101_tofly,to fly,,
102_rat,rat,,
103_meatflesh,meat/flesh,,
104_fatgrease,fat/grease,,
105_tail,tail,,
106_snake,snake,,
107_wormearthworm,worm (earthworm),,
108_louse,louse,,
109_mosquito,mosquito,,
10_dirty,dirty,,
110_spider,spider,,
111_fish,fish,,
112_rotten,rotten,,
113_branch,branch,,
114_leaf,leaf,,
115_root,root,,
116_flower,flower,,
117_fruit,fruit,,
118_grass,grass,,
119_earthsoil,earth/soil,,
11_dust,dust,,
120_stone,stone,,
121_sand,sand,,
122_water,water,,
123_toflow,to flow,,
124_sea,sea,,
125_salt,salt,,
126_lake,lake,,
127_woodsforest,woods/forest,,
128_sky,sky,,
129_moon,moon,,
12_skin,skin,,
130_star,star,,
131_cloud,cloud,,
132_fog,fog,,
133_rain,rain,,
134_thunder,thunder,,
135_lightning,lightning,,
136_wind,wind,,
137_toblow,to blow,,
138_warm,warm,,
139_cold,cold,,
13_back,back,,
140_dry,dry,,
141_wet,wet,,
142_heavy,heavy,,
143_fire,fire,,
144_toburn,to burn,,
145_smoke,smoke,,
146_ashes,ashes,,
147_black,black,,
148_white,white,,
149_red,red,,
14_belly,belly,,
150_yellow,yellow,,
151_green,green,,
152_small,small,,
153_big,big,,
154_short,short,,
155_long,long,,
156_thin,thin,,
157_thick,thick,,
158_narrow,narrow,,
159_wide,wide,,
15_bone,bone,,
160_painfulsick,"painful, sick",,
161_shyashamed,"shy, ashamed",,
162_old,old,,
163_new,new,,
164_good,good,,
165_badevil,"bad, evil",,
166_correcttrue,"correct, true",,
167_night,night,,
168_day,day,,
169_year,year,,
16_intestines,intestines,,
170_when,when?,,
171_tohide,to hide,,
172_toclimb,to climb,,
173_at,at,,
174_ininside,"in, inside",,
175_above,above,,
176_below,below,,
177_this,this,,
178_that,that,,
179_near,near,,
17_liver,liver,,
180_far,far,,
181_where,where?,,
182_i,I,,
183_thou,thou,,
184_heshe,he/she,,
185_we,we,,
186_you,you,,
187_they,they,,
188_what,what?,,
189_who,who?,,
18_breast,breast,,
190_other,other,,
191_all,all,,
192_and,and,,
193_if,if,,
194_how,how?,,
195_nonot,"no, not",,
196_tocount,to count,,
197_one,One,,
198_two,Two,,
199_three,Three,,
19_shoulder,shoulder,,
1_hand,hand,,
200_four,Four,,
201_five,Five,,
202_six,Six,,
203_seven,Seven,,
204_eight,Eight,,
205_nine,Nine,,
206_ten,Ten,,
207_twenty,Twenty,,
208_fifty,Fifty,,
209_onehundred,One Hundred,,
20_toknowbeknowledgeable,"to know, be knowledgeable",,
210_onethousand,One Thousand,,
21_tothink,to think,,
22_tofear,to fear,,
23_blood,blood,,
24_head,head,,
25_neck,neck,,
26_hair,hair,,
27_nose,nose,,
28_tobreathe,to breathe,,
29_tosniffsmell,"to sniff, smell",,
2_left,left,,
30_mouth,mouth,,
31_tooth,tooth,,
32_tongue,tongue,,
33_tolaugh,to laugh,,
34_tocry,to cry,,
35_tovomit,to vomit,,
36_tospit,to spit,,
37_toeat,to eat,,
38_tochew,to chew,,
39_tocook,to cook,,
3_right,right,,
40_todrink,to drink,,
41_tobite,to bite,,
42_tosuck,to suck,,
43_ear,ear,,
44_tohear,to hear,,
45_eye,eye,,
46_tosee,to see,,
47_toyawn,to yawn,,
48_tosleep,to sleep,,
49_toliedown,to lie down,,
4_legfoot,leg/foot,,
50_todream,to dream,,
51_tosit,to sit,,
52_tostand,to stand,,
53_personhumanbeing,person/human being,,
54_manmale,man/male,,
55_womanfemale,woman/female,,
