ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Cognacy,Loan
1000-100_wing-1,1000,100_wing,nalfar,n a l f a r,,Greenhilletal2008,61,False
1000-101_tofly-1,1000,101_tofly,rre,rː e,,Greenhilletal2008,40,False
1000-102_rat-1,1000,102_rat,kusue,k u s u e,,Greenhilletal2008,3,False
1000-103_meatflesh-1,1000,103_meatflesh,nap̃as,n a p a s,,Greenhilletal2008,"15, 79",False
1000-106_snake-1,1000,106_snake,m̃aata,m aː t a,,Greenhilletal2008,12,False
1000-108_louse-1,1000,108_louse,kuutu,k uː t u,,Greenhilletal2008,1,False
1000-109_mosquito-1,1000,109_mosquito,patriki,p a t r i k i,,Greenhilletal2008,84,False
1000-10_dirty-1,1000,10_dirty,plepla,p l e p l a,,Greenhilletal2008,7,False
1000-110_spider-1,1000,110_spider,kalum̃a,k a l u m a,,Greenhilletal2008,1,False
1000-111_fish-1,1000,111_fish,neika,n e i k a,,Greenhilletal2008,1,False
1000-112_rotten-1,1000,112_rotten,nap̃o,n a p o,,Greenhilletal2008,37,False
1000-113_branch-1,1000,113_branch,nm̃ou,n m o u,,Greenhilletal2008,,False
1000-114_leaf-1,1000,114_leaf,noule,n o u l e,,Greenhilletal2008,45,False
1000-115_root-1,1000,115_root,nakon,n a k o n,,Greenhilletal2008,"2, 41, 42",False
1000-116_flower-1,1000,116_flower,napum̃a,n a p u m a,,Greenhilletal2008,"1, 74",False
1000-117_fruit-1,1000,117_fruit,noana,n o a n a,,Greenhilletal2008,"1, 26",False
1000-119_earthsoil-1,1000,119_earthsoil,ntan,n t a n,,Greenhilletal2008,1,False
1000-120_stone-1,1000,120_stone,faatu,f aː t u,,Greenhilletal2008,1,False
1000-121_sand-1,1000,121_sand,nakerkeri,n a k e r k e r i,,Greenhilletal2008,,False
1000-122_water-1,1000,122_water,nuae,n u a e,,Greenhilletal2008,2,False
1000-123_toflow-1,1000,123_toflow,sara,s a r a,,Greenhilletal2008,33,False
1000-124_sea-1,1000,124_sea,ntasi,n t a s i,,Greenhilletal2008,1,False
1000-126_lake-1,1000,126_lake,nuae,n u a e,,Greenhilletal2008,,False
1000-127_woodsforest-1,1000,127_woodsforest,namlas,n a m l a s,,Greenhilletal2008,18,False
1000-128_sky-1,1000,128_sky,nakortlag,n a k o r t l a g,,Greenhilletal2008,1,False
1000-129_moon-1,1000,129_moon,atlaga,a t l a g a,,Greenhilletal2008,8,False
1000-12_skin-1,1000,12_skin,nawil,n a w i l,,Greenhilletal2008,"1, 81",False
1000-130_star-1,1000,130_star,m̃asei,m a s e i,,Greenhilletal2008,13,False
1000-131_cloud-1,1000,131_cloud,naprou,n a p r o u,,Greenhilletal2008,98,False
1000-133_rain-1,1000,133_rain,usa,u s a,,Greenhilletal2008,1,False
1000-134_thunder-1,1000,134_thunder,tfae,t f a e,,Greenhilletal2008,42,False
1000-135_lightning-1,1000,135_lightning,nafla,n a f l a,,Greenhilletal2008,26,False
1000-136_wind-1,1000,136_wind,nlag,n l a g,,Greenhilletal2008,"1, 77",False
1000-137_toblow-1,1000,137_toblow,si,s i,,Greenhilletal2008,60,False
1000-138_warm-1,1000,138_warm,ftunu,f t u n u,,Greenhilletal2008,"12, 94",False
1000-139_cold-1,1000,139_cold,mlat,m l a t,,Greenhilletal2008,"45, 111",False
1000-13_back-1,1000,13_back,nm̃atna,n m a t n a,,Greenhilletal2008,35,False
1000-140_dry-1,1000,140_dry,garagara,g a r a g a r a,,Greenhilletal2008,29,False
1000-140_dry-2,1000,140_dry,gara,g a r a,,Greenhilletal2008,29,False
1000-141_wet-1,1000,141_wet,mou,m o u,,Greenhilletal2008,36,False
1000-142_heavy-1,1000,142_heavy,mtan,m t a n,,Greenhilletal2008,32,False
1000-143_fire-1,1000,143_fire,nkapu,n k a p u,,Greenhilletal2008,19,False
1000-144_toburn-1,1000,144_toburn,tokon,t o k o n,,Greenhilletal2008,7?,False
1000-145_smoke-1,1000,145_smoke,naasua,n aː s u a,,Greenhilletal2008,2,False
1000-146_ashes-1,1000,146_ashes,nam̃tam̃ta,n a m t a m t a,,Greenhilletal2008,,False
1000-147_black-1,1000,147_black,got,g o t,,Greenhilletal2008,79,False
1000-148_white-1,1000,148_white,taare,t aː r e,,Greenhilletal2008,12,False
1000-149_red-1,1000,149_red,mila,m i l a,,Greenhilletal2008,"1, 55",False
1000-14_belly-1,1000,14_belly,nap̃al,n a p a l,,Greenhilletal2008,12,False
1000-150_yellow-1,1000,150_yellow,m̃onm̃on,m o n m o n,,Greenhilletal2008,33,False
1000-151_green-1,1000,151_green,mlaksa,m l a k s a,,Greenhilletal2008,"8,43",False
1000-152_small-1,1000,152_small,kiki,k i k i,,Greenhilletal2008,78,False
1000-153_big-1,1000,153_big,p̃el,p e l,,Greenhilletal2008,,False
1000-154_short-1,1000,154_short,m̃it,m i t,,Greenhilletal2008,32,False
1000-155_long-1,1000,155_long,prau,p r a u,,Greenhilletal2008,16,False
1000-156_thin-1,1000,156_thin,manfenfe,m a n f e n f e,,Greenhilletal2008,1,False
1000-157_thick-1,1000,157_thick,matol,m a t o l,,Greenhilletal2008,3,False
1000-15_bone-1,1000,15_bone,nfatu,n f a t u,,Greenhilletal2008,38,False
1000-160_painfulsick-1,1000,160_painfulsick,msak,m s a k,,Greenhilletal2008,1,False
1000-161_shyashamed-1,1000,161_shyashamed,malier,m a l i e r,,Greenhilletal2008,7,False
1000-162_old-1,1000,162_old,matua,m a t u a,,Greenhilletal2008,1,False
1000-163_new-1,1000,163_new,fau,f a u,,Greenhilletal2008,1,False
1000-164_good-1,1000,164_good,wia,w i a,,Greenhilletal2008,1,False
1000-165_badevil-1,1000,165_badevil,sa,s a,,Greenhilletal2008,1,False
1000-166_correcttrue-1,1000,166_correcttrue,lesko,l e s k o,,Greenhilletal2008,,False
1000-167_night-1,1000,167_night,p̃ogi,p o g i,,Greenhilletal2008,1,False
1000-168_day-1,1000,168_day,naleati,n a l e a t i,,Greenhilletal2008,"1,18",False
1000-169_year-1,1000,169_year,ntau,n t a u,,Greenhilletal2008,1,False
1000-16_intestines-1,1000,16_intestines,nmartana,n m a r t a n a,,Greenhilletal2008,15,False
1000-170_when-1,1000,170_when,nagsa,n a g s a,,Greenhilletal2008,"1,43",False
1000-172_toclimb-1,1000,172_toclimb,pagi,p a g i,,Greenhilletal2008,9,False
1000-172_toclimb-2,1000,172_toclimb,sak,s a k,,Greenhilletal2008,2,False
1000-173_at-1,1000,173_at,mur,m u r,,Greenhilletal2008,,False
1000-174_ininside-1,1000,174_ininside,p̃ag,p a g,,Greenhilletal2008,51,False
1000-175_above-1,1000,175_above,alag,a l a g,,Greenhilletal2008,,False
1000-176_below-1,1000,176_below,atan,a t a n,,Greenhilletal2008,9,False
1000-177_this-1,1000,177_this,na,n a,,Greenhilletal2008,1,False
1000-178_that-1,1000,178_that,na,n a,,Greenhilletal2008,1,False
1000-179_near-1,1000,179_near,mlatig,m l a t i g,,Greenhilletal2008,14,False
1000-17_liver-1,1000,17_liver,nalkop,n a l k o p,,Greenhilletal2008,12,False
1000-180_far-1,1000,180_far,am̃ae,a m a e,,Greenhilletal2008,67,False
1000-181_where-1,1000,181_where,asei,a s e i,,Greenhilletal2008,34,False
1000-182_i-1,1000,182_i,konou,k o n o u,,Greenhilletal2008,"1,21,22",False
1000-183_thou-1,1000,183_thou,nag,n a g,,Greenhilletal2008,"1, 17, 18",False
1000-184_heshe-1,1000,184_heshe,nae,n a e,,Greenhilletal2008,"1, 6",False
1000-185_we-1,1000,185_we,kinta,k i n t a,,Greenhilletal2008,,False
1000-185_we-2,1000,185_we,kenem,k e n e m,,Greenhilletal2008,,False
1000-186_you-1,1000,186_you,kumu,k u m u,,Greenhilletal2008,"1,13",False
1000-187_they-1,1000,187_they,naara,n aː r a,,Greenhilletal2008,"1, 33",False
1000-188_what-1,1000,188_what,nsfa,n s f a,,Greenhilletal2008,1,False
1000-189_who-1,1000,189_who,sei,s e i,,Greenhilletal2008,1,False
1000-18_breast-1,1000,18_breast,mom,m o m,,Greenhilletal2008,30,False
1000-190_other-1,1000,190_other,kerua,k e r u a,,Greenhilletal2008,61,False
1000-191_all-1,1000,191_all,mau,m a u,,Greenhilletal2008,81,False
1000-192_and-1,1000,192_and,go,g o,,Greenhilletal2008,12,False
1000-193_if-1,1000,193_if,wan,w a n,,Greenhilletal2008,78,False
1000-194_how-1,1000,194_how,takanei,t a k a n e i,,Greenhilletal2008,,False
1000-195_nonot-1,1000,195_nonot,ee,eː,,Greenhilletal2008,54,False
1000-195_nonot-2,1000,195_nonot,ti...mou,t i + m o u,,Greenhilletal2008,,False
1000-196_tocount-1,1000,196_tocount,fe,f e,,Greenhilletal2008,,False
1000-197_one-1,1000,197_one,skei,s k e i,,Greenhilletal2008,42,False
1000-198_two-1,1000,198_two,rua,r u a,,Greenhilletal2008,1,False
1000-199_three-1,1000,199_three,tolu,t o l u,,Greenhilletal2008,1,False
1000-19_shoulder-1,1000,19_shoulder,npapna,n p a p n a,,Greenhilletal2008,39,False
1000-1_hand-1,1000,1_hand,nara,n a r a,,Greenhilletal2008,54,False
1000-200_four-1,1000,200_four,pati,p a t i,,Greenhilletal2008,"1,65",False
1000-201_five-1,1000,201_five,lima,l i m a,,Greenhilletal2008,1,False
1000-202_six-1,1000,202_six,latsa,l a ts a,,Greenhilletal2008,20,False
1000-203_seven-1,1000,203_seven,larua,l a r u a,,Greenhilletal2008,13,False
1000-204_eight-1,1000,204_eight,latolu,l a t o l u,,Greenhilletal2008,"5, 7",False
1000-205_nine-1,1000,205_nine,lfot,l f o t,,Greenhilletal2008,20,False
1000-206_ten-1,1000,206_ten,ralma skei,r a l m a # s k e i,,Greenhilletal2008,,False
1000-207_twenty-1,1000,207_twenty,ralma rua,r a l m a # r u a,,Greenhilletal2008,"3,6",False
1000-209_onehundred-1,1000,209_onehundred,p̃ontie skimau,p o n t i e # s k i m a u,,Greenhilletal2008,"4? ,24",False
1000-20_toknowbeknowledgeable-1,1000,20_toknowbeknowledgeable,tae,t a e,,Greenhilletal2008,35,False
1000-210_onethousand-1,1000,210_onethousand,maanu skimau,m aː n u # s k i m a u,,Greenhilletal2008,"10, 5?",False
1000-21_tothink-1,1000,21_tothink,maroa,m a r o a,,Greenhilletal2008,7,False
1000-22_tofear-1,1000,22_tofear,mtouki,m t o u k i,,Greenhilletal2008,1,False
1000-23_blood-1,1000,23_blood,nra,n r a,,Greenhilletal2008,1,False
1000-24_head-1,1000,24_head,nap̃ouna,n a p o u n a,,Greenhilletal2008,9,False
1000-25_neck-1,1000,25_neck,nap̃ana,n a p a n a,,Greenhilletal2008,111,False
1000-26_hair-1,1000,26_hair,nalula,n a l u l a,,Greenhilletal2008,61,False
1000-27_nose-1,1000,27_nose,naŋusuna,n a ŋ u s u n a,,Greenhilletal2008,"1,58",False
1000-28_tobreathe-1,1000,28_tobreathe,maro,m a r o,,Greenhilletal2008,12,False
1000-29_tosniffsmell-1,1000,29_tosniffsmell,nap̃o,n a p o,,Greenhilletal2008,42,False
1000-2_left-1,1000,2_left,maur,m a u r,,Greenhilletal2008,"1,59",False
1000-30_mouth-1,1000,30_mouth,naukona,n a u k o n a,,Greenhilletal2008,"1, 81",False
1000-31_tooth-1,1000,31_tooth,npatna,n p a t n a,,Greenhilletal2008,6,False
1000-32_tongue-1,1000,32_tongue,namana,n a m a n a,,Greenhilletal2008,7,False
1000-33_tolaugh-1,1000,33_tolaugh,muru,m u r u,,Greenhilletal2008,94,False
1000-34_tocry-1,1000,34_tocry,kai,k a i,,Greenhilletal2008,57,False
1000-35_tovomit-1,1000,35_tovomit,lua,l u a,,Greenhilletal2008,8,False
1000-36_tospit-1,1000,36_tospit,tanua,t a n u a,,Greenhilletal2008,85,False
1000-37_toeat-1,1000,37_toeat,paamia,p aː m i a,,Greenhilletal2008,33,False
1000-3_right-1,1000,3_right,matua,m a t u a,,Greenhilletal2008,"5, 37",False
1000-40_todrink-1,1000,40_todrink,munu,m u n u,,Greenhilletal2008,"1,49",False
1000-41_tobite-1,1000,41_tobite,katia,k a t i a,,Greenhilletal2008,"1, 55",False
1000-42_tosuck-1,1000,42_tosuck,srufia,s r u f i a,,Greenhilletal2008,60,False
1000-43_ear-1,1000,43_ear,ntaleŋana,n t a l e ŋ a n a,,Greenhilletal2008,1,False
1000-44_tohear-1,1000,44_tohear,roŋo,r o ŋ o,,Greenhilletal2008,1,False
1000-45_eye-1,1000,45_eye,namta,n a m t a,,Greenhilletal2008,1,False
1000-46_tosee-1,1000,46_tosee,lo,l o,,Greenhilletal2008,"14,94",False
1000-48_tosleep-1,1000,48_tosleep,maturu,m a t u r u,,Greenhilletal2008,1,False
1000-49_toliedown-1,1000,49_toliedown,wane,w a n e,,Greenhilletal2008,,False
1000-4_legfoot-1,1000,4_legfoot,patu,p a t u,,Greenhilletal2008,,False
1000-51_tosit-1,1000,51_tosit,sasake,s a s a k e,,Greenhilletal2008,72,False
1000-52_tostand-1,1000,52_tostand,lao,l a o,,Greenhilletal2008,,False
1000-53_personhumanbeing-1,1000,53_personhumanbeing,natam̃oli,n a t a m o l i,,Greenhilletal2008,"4, 7",False
1000-54_manmale-1,1000,54_manmale,kano,k a n o,,Greenhilletal2008,80,False
1000-54_manmale-2,1000,54_manmale,nanoae,n a n o a e,,Greenhilletal2008,80,False
1000-55_womanfemale-1,1000,55_womanfemale,naŋruni,n a ŋ r u n i,,Greenhilletal2008,84,False
1000-56_child-1,1000,56_child,nkarkiki,n k a r k i k i,,Greenhilletal2008,72,False
1000-57_husband-1,1000,57_husband,anaota,a n a o t a,,Greenhilletal2008,61,False
1000-58_wife-1,1000,58_wife,fterki,f t e r k i,,Greenhilletal2008,50,False
1000-59_mother-1,1000,59_mother,teteia,t e t e i a,,Greenhilletal2008,44,False
1000-5_towalk-1,1000,5_towalk,suaru,s u a r u,,Greenhilletal2008,102,False
1000-60_father-1,1000,60_father,mameia,m a m e i a,,Greenhilletal2008,"1, 10",False
1000-61_house-1,1000,61_house,nasum̃a,n a s u m a,,Greenhilletal2008,1,False
1000-63_name-1,1000,63_name,naŋi,n a ŋ i,,Greenhilletal2008,40,False
1000-64_tosay-1,1000,64_tosay,telia,t e l i a,,Greenhilletal2008,117,False
1000-65_rope-1,1000,65_rope,ntal,n t a l,,Greenhilletal2008,1,False
1000-66_totieupfasten-1,1000,66_totieupfasten,mutia,m u t i a,,Greenhilletal2008,88,False
1000-69_tohunt-1,1000,69_tohunt,plak korii,p l a k # k o r iː,,Greenhilletal2008,"10, 58",False
1000-6_roadpath-1,1000,6_roadpath,napua,n a p u a,,Greenhilletal2008,5,False
1000-70_toshoot-1,1000,70_toshoot,tpe,t p e,,Greenhilletal2008,8,False
1000-71_tostabpierce-1,1000,71_tostabpierce,parusia,p a r u s i a,,Greenhilletal2008,,False
1000-72_tohit-1,1000,72_tohit,p̃atia,p a t i a,,Greenhilletal2008,98,False
1000-73_tosteal-1,1000,73_tosteal,pnak,p n a k,,Greenhilletal2008,"1,58",False
1000-74_tokill-1,1000,74_tokill,p̃apunu,p a p u n u,,Greenhilletal2008,"63, 1",False
1000-75_todiebedead-1,1000,75_todiebedead,mate,m a t e,,Greenhilletal2008,1,False
1000-76_tolivebealive-1,1000,76_tolivebealive,m̃oli,m o l i,,Greenhilletal2008,"1, 76",False
1000-78_tocuthack-1,1000,78_tocuthack,tae,t a e,,Greenhilletal2008,1,False
1000-79_stickwood-1,1000,79_stickwood,nkasu,n k a s u,,Greenhilletal2008,1,False
1000-7_tocome-1,1000,7_tocome,panmei,p a n m e i,,Greenhilletal2008,"23, 1",False
1000-80_tosplit-1,1000,80_tosplit,p̃rae,p r a e,,Greenhilletal2008,1,False
1000-83_towork-1,1000,83_towork,weswesi,w e sʷ e s i,,Greenhilletal2008,91,False
1000-84_toplant-1,1000,84_toplant,lao,l a o,,Greenhilletal2008,10,False
1000-85_tochoose-1,1000,85_tochoose,lo,l o,,Greenhilletal2008,26?,False
1000-87_toswell-1,1000,87_toswell,puka,p u k a,,Greenhilletal2008,10,False
1000-88_tosqueeze-1,1000,88_tosqueeze,m̃ulia,m u l i a,,Greenhilletal2008,,False
1000-89_tohold-1,1000,89_tohold,putia,p u t i a,,Greenhilletal2008,,False
1000-8_toturn-1,1000,8_toturn,roae,r o a e,,Greenhilletal2008,105,False
1000-90_todig-1,1000,90_todig,kelia,k e l i a,,Greenhilletal2008,1,False
1000-91_tobuy-1,1000,91_tobuy,pagtofia,p a g t o f i a,,Greenhilletal2008,9,False
1000-92_toopenuncover-1,1000,92_toopenuncover,p̃algatia,p a l g a t i a,,Greenhilletal2008,,False
1000-94_tothrow-1,1000,94_tothrow,natki,n a t k i,,Greenhilletal2008,75,False
1000-95_tofall-1,1000,95_tofall,roa,r o a,,Greenhilletal2008,120,False
1000-96_dog-1,1000,96_dog,korii,k o r iː,,Greenhilletal2008,7,True
1000-97_bird-1,1000,97_bird,maanu,m aː n u,,Greenhilletal2008,1,False
1000-98_egg-1,1000,98_egg,natul,n a t u l,,Greenhilletal2008,1,False
1000-99_feather-1,1000,99_feather,nm̃au,n m a u,,Greenhilletal2008,6,False
1000-9_toswim-1,1000,9_toswim,waafe,w aː f e,,Greenhilletal2008,7,False
1003-100_wing-1,1003,100_wing,eβoue-n,e β o u e + n,,Greenhilletal2008,7,False
1003-101_tofly-1,1003,101_tofly,-ka,+ k a,,Greenhilletal2008,14,False
1003-102_rat-1,1003,102_rat,asu,a s u,,Greenhilletal2008,"3, 77",False
1003-103_meatflesh-1,1003,103_meatflesh,husi,h u s i,,Greenhilletal2008,10,False
1003-105_tail-1,1003,105_tail,aβuki-n,a β u k i + n,,Greenhilletal2008,,False
1003-106_snake-1,1003,106_snake,tetal,t e t a l,,Greenhilletal2008,13,False
1003-108_louse-1,1003,108_louse,out,o u t,,Greenhilletal2008,1,False
1003-109_mosquito-1,1003,109_mosquito,anam,a n a m,,Greenhilletal2008,1,False
1003-10_dirty-1,1003,10_dirty,tahul,t a h u l,,Greenhilletal2008,103,False
1003-111_fish-1,1003,111_fish,mesau,m e s a u,,Greenhilletal2008,52,False
1003-111_fish-2,1003,111_fish,ai,a i,,Greenhilletal2008,"1, 68",False
1003-112_rotten-1,1003,112_rotten,eβu,e β u,,Greenhilletal2008,,False
1003-114_leaf-1,1003,114_leaf,ouai,o u a i,,Greenhilletal2008,17,False
1003-115_root-1,1003,115_root,lite,l i t e,,Greenhilletal2008,"18, 44",False
1003-116_flower-1,1003,116_flower,mosan,m o s a n,,Greenhilletal2008,,False
1003-117_fruit-1,1003,117_fruit,heiai,h e i a i,,Greenhilletal2008,37,False
1003-118_grass-1,1003,118_grass,oumunai,o u m u n a i,,Greenhilletal2008,31,False
1003-119_earthsoil-1,1003,119_earthsoil,out ne-tan,o u t # n e + t a n,,Greenhilletal2008,1,False
1003-11_dust-1,1003,11_dust,βulimeas,β u l i m e a s,,Greenhilletal2008,20,False
1003-120_stone-1,1003,120_stone,ahat,a h a t,,Greenhilletal2008,1,False
1003-121_sand-1,1003,121_sand,βoien,β o i e n,,Greenhilletal2008,"1, 79",False
1003-122_water-1,1003,122_water,oai,o a i,,Greenhilletal2008,2,False
1003-123_toflow-1,1003,123_toflow,-we,+ w e,,Greenhilletal2008,65,False
1003-124_sea-1,1003,124_sea,a-tas,a + t a s,,Greenhilletal2008,1,False
1003-125_salt-1,1003,125_salt,atas,a t a s,,Greenhilletal2008,20,False
1003-126_lake-1,1003,126_lake,meterumrum,m e t e r u m r u m,,Greenhilletal2008,,False
1003-127_woodsforest-1,1003,127_woodsforest,eiβorohus,e i β o r o h u s,,Greenhilletal2008,"88, 109",False
1003-128_sky-1,1003,128_sky,teilaŋ,t e i l a ŋ,,Greenhilletal2008,"1, 61",False
1003-129_moon-1,1003,129_moon,aβati,a β a t i,,Greenhilletal2008,6,False
1003-12_skin-1,1003,12_skin,hiliβe-k,h i l i β e + k,,Greenhilletal2008,"1, 80, 71",False
1003-130_star-1,1003,130_star,hitu,h i t u,,Greenhilletal2008,1,False
1003-131_cloud-1,1003,131_cloud,mahmah,m a h m a h,,Greenhilletal2008,39,False
1003-132_fog-1,1003,132_fog,mahmah,m a h m a h,,Greenhilletal2008,"3, 32",False
1003-133_rain-1,1003,133_rain,ous,o u s,,Greenhilletal2008,1,False
1003-134_thunder-1,1003,134_thunder,βou lul,β o u # l u l,,Greenhilletal2008,83,False
1003-135_lightning-1,1003,135_lightning,ahil,a h i l,,Greenhilletal2008,26,False
1003-136_wind-1,1003,136_wind,eaŋ,e a ŋ,,Greenhilletal2008,"1, 77",False
1003-137_toblow-1,1003,137_toblow,-uhi,+ u h i,,Greenhilletal2008,"4,81",False
1003-138_warm-1,1003,138_warm,βistat mutin,β i s t a t # m u t i n,,Greenhilletal2008,,False
1003-139_cold-1,1003,139_cold,ani,a n i,,Greenhilletal2008,,False
1003-13_back-1,1003,13_back,eisilu-ku,e i s i l u + k u,,Greenhilletal2008,130,False
1003-140_dry-1,1003,140_dry,me-mes,m e + m e s,,Greenhilletal2008,11,False
1003-141_wet-1,1003,141_wet,memer,m e m e r,,Greenhilletal2008,35,False
1003-142_heavy-1,1003,142_heavy,meas,m e a s,,Greenhilletal2008,33,False
1003-143_fire-1,1003,143_fire,ahaŋ,a h a ŋ,,Greenhilletal2008,21,False
1003-144_toburn-1,1003,144_toburn,-niti,+ n i t i,,Greenhilletal2008,86,False
1003-145_smoke-1,1003,145_smoke,eas,e a s,,Greenhilletal2008,2,False
1003-146_ashes-1,1003,146_ashes,meneihaŋ,m e n e i h a ŋ,,Greenhilletal2008,,False
1003-147_black-1,1003,147_black,malikelik,m a l i k e l i k,,Greenhilletal2008,41,False
1003-148_white-1,1003,148_white,muoh,m u o h,,Greenhilletal2008,,False
1003-149_red-1,1003,149_red,βihili,β i h i l i,,Greenhilletal2008,18,False
1003-14_belly-1,1003,14_belly,faŋo-k,f a ŋ o + k,,Greenhilletal2008,61,False
1003-150_yellow-1,1003,150_yellow,okohis,o k o h i s,,Greenhilletal2008,,False
1003-151_green-1,1003,151_green,ouai,o u a i,,Greenhilletal2008,,False
1003-152_small-1,1003,152_small,haβiβi,h a β i β i,,Greenhilletal2008,108,False
1003-153_big-1,1003,153_big,marite,m a r i t e,,Greenhilletal2008,113,False
1003-155_long-1,1003,155_long,taβeah,t a β e a h,,Greenhilletal2008,60,False
1003-156_thin-1,1003,156_thin,muko,m u k o,,Greenhilletal2008,,False
1003-157_thick-1,1003,157_thick,matetel,m a t e t e l,,Greenhilletal2008,3,False
1003-158_narrow-1,1003,158_narrow,ein,e i n,,Greenhilletal2008,,False
1003-15_bone-1,1003,15_bone,si-k,s i + k,,Greenhilletal2008,52,False
1003-160_painfulsick-1,1003,160_painfulsick,mesai,m e s a i,,Greenhilletal2008,1,False
1003-162_old-1,1003,162_old,hetimatu,h e t i m a t u,,Greenhilletal2008,1,False
1003-163_new-1,1003,163_new,hetihao,h e t i h a o,,Greenhilletal2008,55,False
1003-164_good-1,1003,164_good,tahos,t a h o s,,Greenhilletal2008,124,False
1003-165_badevil-1,1003,165_badevil,tisa,t i s a,,Greenhilletal2008,"1, 99",False
1003-167_night-1,1003,167_night,βoŋien,β o ŋ i e n,,Greenhilletal2008,1,False
1003-168_day-1,1003,168_day,aβoŋ,a β o ŋ,,Greenhilletal2008,16,False
1003-169_year-1,1003,169_year,ouh,o u h,,Greenhilletal2008,,False
1003-16_intestines-1,1003,16_intestines,tino-k,t i n o + k,,Greenhilletal2008,1,False
1003-170_when-1,1003,170_when,neŋeis,n e ŋ e i s,,Greenhilletal2008,"1,43",False
1003-174_ininside-1,1003,174_ininside,en,e n,,Greenhilletal2008,49?,False
1003-177_this-1,1003,177_this,koa,k o a,,Greenhilletal2008,,False
1003-178_that-1,1003,178_that,koa keiek,k o a # k e i e k,,Greenhilletal2008,,False
1003-179_near-1,1003,179_near,βesesal,β e s e s a l,,Greenhilletal2008,,False
1003-17_liver-1,1003,17_liver,maleles ona-k,m a l e l e s # o n a + k,,Greenhilletal2008,,False
1003-180_far-1,1003,180_far,soutin,s o u t i n,,Greenhilletal2008,72,False
1003-181_where-1,1003,181_where,kaβe,k a β e,,Greenhilletal2008,"3,35",False
1003-182_i-1,1003,182_i,inau,i n a u,,Greenhilletal2008,"1,21,22",False
1003-183_thou-1,1003,183_thou,keik,k e i k,,Greenhilletal2008,"1, 26",False
1003-184_heshe-1,1003,184_heshe,kei,k e i,,Greenhilletal2008,"1, 29",False
1003-185_we-1,1003,185_we,ir,i r,,Greenhilletal2008,I,False
1003-185_we-2,1003,185_we,komai,k o m a i,,Greenhilletal2008,E,False
1003-185_we-3,1003,185_we,yalu,j a l u,,Greenhilletal2008,,False
1003-185_we-4,1003,185_we,komal,k o m a l,,Greenhilletal2008,,False
1003-186_you-1,1003,186_you,kami,k a m i,,Greenhilletal2008,"1,13",False
1003-187_they-1,1003,187_they,keil,k e i l,,Greenhilletal2008,"1, 69",False
1003-188_what-1,1003,188_what,asa,a s a,,Greenhilletal2008,1,False
1003-189_who-1,1003,189_who,isei,i s e i,,Greenhilletal2008,1,False
1003-18_breast-1,1003,18_breast,susu,s u s u,,Greenhilletal2008,1,False
1003-190_other-1,1003,190_other,keil,k e i l,,Greenhilletal2008,,False
1003-191_all-1,1003,191_all,keil,k e i l,,Greenhilletal2008,,False
1003-192_and-1,1003,192_and,ka,k a,,Greenhilletal2008,1,False
1003-193_if-1,1003,193_if,naman,n a m a n,,Greenhilletal2008,,False
1003-194_how-1,1003,194_how,mukaβe,m u k a β e,,Greenhilletal2008,"58, 82, 83",False
1003-195_nonot-1,1003,195_nonot,toβuol,t o β u o l,,Greenhilletal2008,103,False
1003-196_tocount-1,1003,196_tocount,-hulhuli,+ h u lʰ u l i,,Greenhilletal2008,81,False
1003-197_one-1,1003,197_one,tai,t a i,,Greenhilletal2008,14,False
1003-198_two-1,1003,198_two,e-lu,e + l u,,Greenhilletal2008,1,False
1003-199_three-1,1003,199_three,etelu̥,e t e l u,,Greenhilletal2008,1,False
1003-19_shoulder-1,1003,19_shoulder,fatisi-k,f a t i s i + k,,Greenhilletal2008,"65,40",False
1003-1_hand-1,1003,1_hand,hi-k,h i + k,,Greenhilletal2008,"16,72",False
1003-200_four-1,1003,200_four,e-hat,e + h a t,,Greenhilletal2008,"1,65",False
1003-201_five-1,1003,201_five,e-lim,e + l i m,,Greenhilletal2008,1,False
1003-202_six-1,1003,202_six,ahitai,a h i t a i,,Greenhilletal2008,,False
1003-203_seven-1,1003,203_seven,ou-lu,o u + l u,,Greenhilletal2008,2,False
1003-204_eight-1,1003,204_eight,ou-tel,o u + t e l,,Greenhilletal2008,7,False
1003-205_nine-1,1003,205_nine,ou-hat,o u + h a t,,Greenhilletal2008,20,False
1003-206_ten-1,1003,206_ten,halualim,h a l u a l i m,,Greenhilletal2008,4,False
1003-20_toknowbeknowledgeable-1,1003,20_toknowbeknowledgeable,-kilea,+ k i l e a,,Greenhilletal2008,18,False
1003-21_tothink-1,1003,21_tothink,-reⁿdem,+ r e ⁿd e m,,Greenhilletal2008,13,False
1003-22_tofear-1,1003,22_tofear,-metau,+ m e t a u,,Greenhilletal2008,1,False
1003-23_blood-1,1003,23_blood,ra-k,r a + k,,Greenhilletal2008,1,False
1003-24_head-1,1003,24_head,fatu-ku,f a t u + k u,,Greenhilletal2008,9,False
1003-25_neck-1,1003,25_neck,hiri-k,h i r i + k,,Greenhilletal2008,43,False
1003-26_hair-1,1003,26_hair,hilu-ku,h i l u + k u,,Greenhilletal2008,31,False
1003-27_nose-1,1003,27_nose,fuli-ŋaso-ku,f u l i + ŋ a s o + k u,,Greenhilletal2008,"1,58",False
